fileName	avgAmp	avgFreq	Comment	targetFreq	recording	section
1964_11+11.wav	1.82	6.38		701.6312649699441	1964	11+11
1968_11+11.wav	1.25	4.82		701.6312649699441	1968	11+11
1985_11+11.wav	1.68	3.59		701.6312649699441	1985	11+11
1986_11+11.wav	3.06	5.51		701.6312649699441	1986	11+11
1989_11+11.wav	0.90	3.41		701.6312649699441	1989	11+11
1993_11+11.wav	1.47	6.50		644.6237271487641	1993	11+11
1995_11+11.wav	4.46	5.07		701.6312649699441	1995	11+11
1964_13+21.wav	5.42	5.31		496.12822535274285	1964	13+21
1968_13+21.wav	5.99	4.75		496.12822535274285	1968	13+21
1985_13+21.wav	4.26	5.22		496.12822535274285	1985	13+21
1986_13+21.wav	2.78	4.80		496.12822535274285	1986	13+21
1989_13+21.wav	2.60	5.03		496.12822535274285	1989	13+21
1993_13+21.wav	3.53	4.19		455.8178087806379	1993	13+21
1995_13+21.wav	3.17	5.55		496.12822535274285	1995	13+21
1964_13+29.wav	0.00	0.00	not enough peaks in Vibrato	78.1352993211135	1964	13+29
1968_13+29.wav	0.00	0.00	not enough peaks in Vibrato	78.1352993211135	1968	13+29
1985_13+29.wav	0.00	0.00	not enough peaks in Vibrato	78.1352993211135	1985	13+29
1986_13+29.wav	0.00	0.00	not enough peaks in Vibrato	78.1352993211135	1986	13+29
1989_13+29.wav	0.00	0.00	not enough peaks in Vibrato	78.1352993211135	1989	13+29
1993_13+29.wav	6.28	4.59		71.78680652496023	1993	13+29
1995_13+29.wav	0.00	0.00	not enough peaks in Vibrato	78.1352993211135	1995	13+29
1964_17+13.wav	1.80	6.51		662.2517279794931	1964	17+13
1968_17+13.wav	2.98	5.62		662.2517279794931	1968	17+13
1985_17+13.wav	2.57	4.01		662.2517279794931	1985	17+13
1986_17+13.wav	2.18	4.50		662.2517279794931	1986	17+13
1989_17+13.wav	1.50	5.22		662.2517279794931	1989	17+13
1993_17+13.wav	1.01	6.74		608.4437774008512	1993	17+13
1995_17+13.wav	3.10	5.64		662.2517279794931	1995	17+13
1964_17+4.wav	8.37	2.73		468.28268770680853	1964	17+4
1968_17+4.wav	5.02	4.58		468.28268770680853	1968	17+4
1985_17+4.wav	2.54	4.58		468.28268770680853	1985	17+4
1986_17+4.wav	2.64	5.71		468.28268770680853	1986	17+4
1989_17+4.wav	2.99	5.25		468.28268770680853	1989	17+4
1993_17+4.wav	2.65	5.90		430.2347209709002	1993	17+4
1995_17+4.wav	4.42	6.22		468.28268770680853	1995	17+4
1964_17+6.wav	10.21	5.38		117.07067192670213	1964	17+6
1968_17+6.wav	0.00	0.00	not enough peaks in Vibrato	117.07067192670213	1968	17+6
1985_17+6.wav	3.01	6.63		117.07067192670213	1985	17+6
1986_17+6.wav	3.90	4.03		117.07067192670213	1986	17+6
1989_17+6.wav	3.63	5.89		117.07067192670213	1989	17+6
1993_17+6.wav	2.27	3.13		107.55868024272505	1993	17+6
1995_17+6.wav	3.46	4.75		117.07067192670213	1995	17+6
1964_18+10.wav	1.87	5.13		743.3524310842837	1964	18+10
1968_18+10.wav	2.38	4.67		743.3524310842837	1968	18+10
1985_18+10.wav	2.36	4.84		743.3524310842837	1985	18+10
1986_18+10.wav	0.69	6.73		743.3524310842837	1986	18+10
1989_18+10.wav	4.55	5.61		743.3524310842837	1989	18+10
1993_18+10.wav	2.13	5.86		682.9550486624518	1993	18+10
1995_18+10.wav	7.42	5.01		743.3524310842837	1995	18+10
1964_2+10.wav	5.12	4.77		525.6295448312027	1964	2+10
1968_2+10.wav	7.00	5.86		525.6295448312027	1968	2+10
1985_2+10.wav	4.85	5.81		525.6295448312027	1985	2+10
1986_2+10.wav	3.35	3.97		525.6295448312027	1986	2+10
1989_2+10.wav	2.83	5.10		525.6295448312027	1989	2+10
1993_2+10.wav	2.86	6.07		482.92214615480816	1993	2+10
1995_2+10.wav	5.24	5.04		525.6295448312027	1995	2+10
1964_28+18.wav	1.04	6.93		331.12586398974656	1964	28+18
1968_28+18.wav	0.00	0.00	not enough peaks in Vibrato	331.12586398974656	1968	28+18
1985_28+18.wav	0.00	0.00	not enough peaks in Vibrato	331.12586398974656	1985	28+18
1986_28+18.wav	3.73	4.06		331.12586398974656	1986	28+18
1989_28+18.wav	0.57	4.68		331.12586398974656	1989	28+18
1993_28+18.wav	0.00	0.00	not enough peaks in Vibrato	304.2218887004256	1993	28+18
1995_28+18.wav	0.00	0.00	not enough peaks in Vibrato	331.12586398974656	1995	28+18
1964_29+3.wav	2.54	5.26		468.28268770680853	1964	29+3
1968_29+3.wav	2.77	5.04		468.28268770680853	1968	29+3
1985_29+3.wav	3.40	5.18		468.28268770680853	1985	29+3
1986_29+3.wav	4.10	4.98		468.28268770680853	1986	29+3
1989_29+3.wav	3.77	4.65		468.28268770680853	1989	29+3
1993_29+3.wav	3.80	4.46		430.2347209709002	1993	29+3
1995_29+3.wav	4.96	4.00		468.28268770680853	1995	29+3
1964_3+10.wav	3.95	5.56		371.67621554214185	1964	3+10
1968_3+10.wav	1.61	5.27		371.67621554214185	1968	3+10
1985_3+10.wav	3.84	5.16		371.67621554214185	1985	3+10
1986_3+10.wav	0.98	5.58		371.67621554214185	1986	3+10
1989_3+10.wav	1.29	3.96		371.67621554214185	1989	3+10
1993_3+10.wav	0.92	4.82		341.4775243312259	1993	3+10
1995_3+10.wav	0.73	4.67		371.67621554214185	1995	3+10
1964_40+18.wav	5.53	2.85		331.12586398974656	1964	40+18
1968_40+18.wav	1.75	7.18		331.12586398974656	1968	40+18
1986_40+18.wav	0.86	5.65		331.12586398974656	1986	40+18
1989_40+18.wav	0.47	5.62		331.12586398974656	1989	40+18
1993_40+18.wav	0.97	3.41		304.2218887004256	1993	40+18
1995_40+18.wav	1.16	4.88		331.12586398974656	1995	40+18
1964_44+13.wav	3.54	4.80		589.9992155431552	1964	44+13
1968_44+13.wav	4.01	4.49		589.9992155431552	1968	44+13
